省份,运营商,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
贵州,移动,,,,,,,,,1518545,,1577265,,,,,1728649,1788625,1822495,1838555,1848558,1878565,1888695,,,
贵州,移动,,,,,,,,,1518546,,1577266,,,,,1728650,1788626,1822496,1838556,1848559,1878566,1888696,,,
贵州,移动,,,,,,,,,1518547,,1577267,,,,,1728651,1788627,1822497,1838557,1848560,1878567,1888697,,,
贵州,移动,,,,,,,,,1518548,,1577268,,,,,1728652,1788628,1822498,1838558,1848561,1878568,1888698,,,
贵州,移动,,,,,,,,,1518549,,1577269,,,,,1728653,1788629,1822499,1838559,1848562,1878569,1888699,,,
贵州,移动,,,,,,,,,1518550,,1577270,,,,,1728654,1788630,1823070,1838560,1848563,1878570,1889230,,,
贵州,移动,,,,,,,,,1518551,,1577271,,,,,1728655,1788631,1823071,1838561,1848564,1878571,1889231,,,
贵州,移动,,,,,,,,,1518552,,1577272,,,,,1728656,1788632,1823072,1838562,1848565,1878572,1889232,,,
贵州,移动,,,,,,,,,1518553,,1577273,,,,,1728657,1788633,1823073,1838563,1848566,1878573,1889233,,,
贵州,移动,,,,,,,,,1518554,,1577274,,,,,1728658,1788634,1823074,1838564,1848567,1878574,1889234,,,
贵州,移动,,,,,,,,,1518555,,1577275,,,,,1728659,1788635,1823075,1838565,1848568,1878575,1889235,,,
贵州,移动,,,,,,,,,1518556,,1577276,,,,,1728660,1788636,1823076,1838566,1848569,1878576,1889236,,,
贵州,移动,,,,,,,,,1518557,,1577277,,,,,1728661,1788637,1823077,1838567,1848570,1878577,1889237,,,
贵州,移动,,,,,,,,,1518558,,1577278,,,,,1728662,1788638,1823078,1838568,1848571,1878578,1889238,,,
贵州,移动,,,,,,,,,1518559,,1577279,,,,,1728663,1788639,1823079,1838569,1848572,1878579,1889239,,,
贵州,移动,,,,,,,,,1518560,,1577280,,,,,1728664,1788640,1823080,1838570,1848573,1878580,1889240,,,
