省份,运营商,130 号段,131 号段,132 号段,145 号段,146 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
江苏,联通,1301382,1314255,1321894,1450944,1460114,,1565154,1665134,1673144,1712334,1755114,1762544,1855014,1862614,
江苏,联通,1301383,1314256,1321895,1450945,1460115,,1565155,1665135,1673145,1712335,1755115,1762545,1855015,1862615,
江苏,联通,1301384,1314258,1321896,1450946,1460116,,1565156,1665136,1673146,1712336,1755116,1762546,1855016,1862616,
江苏,联通,1301385,1314259,1321897,1450947,1460117,,1565157,1665137,1673147,1712337,1755117,1762547,1855017,1862617,
江苏,联通,1301386,1314260,1321898,1450948,1460118,,1565158,1665138,1673148,1712338,1755118,1762548,1855018,1862618,
江苏,联通,1301387,1314262,1321899,1450949,1460119,,1565159,1665139,1673149,1712339,1755119,1762549,1855019,1862619,
江苏,联通,1301388,1314265,1322200,1450950,1460120,,1565160,1665140,1673200,1713020,1755120,1762550,1855020,1862620,
江苏,联通,1301389,1314266,1322201,1450951,1460121,,1565161,1665141,1673201,1713021,1755121,1762551,1855021,1862621,
江苏,联通,1301390,1314267,1322202,1450952,1460122,,1565162,1665142,1673202,1713022,1755122,1762552,1855022,1862622,
江苏,联通,1301391,1314268,1322203,1450953,1460123,,1565163,1665143,1673203,1713023,1755123,1762553,1855023,1862623,
江苏,联通,1301392,1314269,1322204,1450954,1460124,,1565164,1665144,1673204,1713024,1755124,1762554,1855024,1862624,
江苏,联通,1301393,1314280,1322205,1450955,1460125,,1565165,1665145,1673205,1713025,1755125,1762555,1855025,1862625,
江苏,联通,1301394,1314281,1322206,1450956,1460126,,1565166,1665146,1673206,1713026,1755126,1762556,1855026,1862626,
江苏,联通,1301395,1314282,1322207,1450957,1460127,,1565167,1665147,1673207,1713027,1755127,1762557,1855027,1862627,
江苏,联通,1301396,1314283,1322208,1450958,1460128,,1565168,1665148,1673208,1713028,1755128,1762558,1855028,1862628,
江苏,联通,1301397,1314284,1322209,1450959,1460129,,1565169,1665149,1673209,1713029,1755129,1762559,1855029,1862629,
江苏,联通,1301398,1314285,1322210,1452600,1460130,,1565170,1665150,1673240,1713030,1755130,1762560,1855030,1862630,
江苏,联通,1301399,1314286,1322211,1452601,1460131,,1565171,1665151,1673241,1713031,1755131,1762561,1855031,1862631,
江苏,联通,1301650,1314288,1322212,1452602,1460132,,1565172,1665152,1673242,1713032,1755132,1762562,1855032,1862632,
江苏,联通,1301651,1314289,1322213,1452603,1460133,,1565173,1665153,1673243,1713033,1755133,1762563,1855033,1862633,
江苏,联通,1301652,1314290,1322214,1452604,1460134,,1565174,1665154,1673244,1713034,1755134,1762564,1855034,1862634,
江苏,联通,1301653,1314291,1322215,1452605,1460135,,1565175,1665155,1673245,1713035,1755135,1762565,1855035,1862635,
江苏,联通,1301654,1314292,1322216,1452606,1460136,,1565176,1665156,1673246,1713036,1755136,1762566,1855036,1862636,
江苏,联通,1301655,1314293,1322217,1452607,1460137,,1565177,1665157,1673247,1713037,1755137,1762567,1855037,1862637,
江苏,联通,1301656,1314294,1322218,1452608,1460138,,1565178,1665158,1673248,1713038,1755138,1762568,1855038,1862638,
江苏,联通,1301657,1314295,1322219,1452609,1460139,,1565179,1665159,1673249,1713039,1755139,1762569,1855039,1862639,
江苏,联通,1301658,1314296,1322220,1452610,1460140,,1565180,1665160,1673250,1713040,1755140,1762570,1855040,1862640,
江苏,联通,1301659,1314297,1322221,1452611,1460141,,1565181,1665161,1673251,1713041,1755141,1762571,1855041,1862641,
江苏,联通,1301670,1314298,1322222,1452612,1460142,,1565182,1665162,1673252,1713042,1755142,1762572,1855042,1862642,
江苏,联通,1301671,1314299,1322223,1452613,1460143,,1565183,1665163,1673253,1713043,1755143,1762573,1855043,1862643,
江苏,联通,1301672,1314500,1322224,1452614,1460144,,1565184,1665164,1673254,1713044,1755144,1762574,1855044,1862644,
江苏,联通,1301673,1314501,1322225,1452615,1460145,,1565185,1665165,1673255,1713045,1755145,1762575,1855045,1862645,
江苏,联通,1301674,1314502,1322226,1452616,1460146,,1565186,1665166,1673256,1713046,1755146,1762576,1855046,1862646,
江苏,联通,1301675,1314503,1322227,1452617,1460147,,1565187,1665167,1673257,1713047,1755147,1762577,1855047,1862647,
江苏,联通,1301676,1314504,1322228,1452618,1460148,,1565188,1665168,1673258,1713048,1755148,1762578,1855048,1862648,
江苏,联通,1301677,1314505,1322229,1452619,1460149,,1565189,1665169,1673259,1713049,1755149,1762579,1855049,1862649,
江苏,联通,1301678,1314506,1322230,1452620,1460150,,1565190,1665170,1673260,1713050,1755150,1762580,1855050,1865100,
江苏,联通,1301679,1314507,1322231,1452621,1460151,,1565191,1665171,1673261,1713051,1755151,1762581,1855051,1865101,
江苏,联通,1301680,1314508,1322232,1452622,1460152,,1565192,1665172,1673262,1713052,1755152,1762582,1855052,1865102,
江苏,联通,1301681,1314509,1322233,1452623,1460153,,1565193,1665173,1673263,1713053,1755153,1762583,1855053,1865103,
江苏,联通,1301682,1314510,1322234,1452624,1460154,,1565194,1665174,1673264,1713054,1755154,1762584,1855054,1865104,
江苏,联通,1301683,1314511,1322235,1452625,1460155,,1565195,1665175,1673265,1713055,1755155,1762585,1855055,1865105,
江苏,联通,1301684,1314512,1322236,1452626,1460156,,1565196,1665176,1673266,1713056,1755156,1762586,1855056,1865106,
江苏,联通,1301685,1314513,1322237,1452627,1460157,,1565197,1665177,1673267,1713057,1755157,1762587,1855057,1865107,
江苏,联通,1301686,1314514,1322238,1452628,1460158,,1565198,1665178,1673268,1713058,1755158,1762588,1855058,1865108,
江苏,联通,1301687,1314515,1322239,1452629,1460159,,1565199,1665179,1673269,1713059,1755159,1762589,1855059,1865109,
江苏,联通,1301688,1314516,1322240,1452630,1460160,,1566510,1665180,1673270,1713510,1755160,1762590,1855060,1865110,
江苏,联通,1301689,1314517,1322241,1452631,1460161,,1566511,1665181,1673271,1713511,1755161,1762591,1855061,1865111,
江苏,联通,1301690,1314518,1322242,1452632,1460162,,1566512,1665182,1673272,1713512,1755162,1762592,1855062,1865112,
江苏,联通,1301691,1314519,1322243,1452633,1460163,,1566513,1665183,1673273,1713513,1755163,1762593,1855063,1865113,
江苏,联通,1301692,1314520,1322244,1452634,1460164,,1566514,1665184,1673274,1713514,1755164,1762594,1855064,1865114,
江苏,联通,1301693,1314521,1322245,1452635,1460165,,1566515,1665185,1673275,1713515,1755165,1762595,1855065,1865115,
江苏,联通,1301694,1314522,1322246,1452636,1460166,,1566516,1665186,1673276,1713516,1755166,1762596,1855066,1865116,
江苏,联通,1301695,1315100,1322247,1452637,1460167,,1566517,1665187,1673277,1713517,1755167,1762597,1855067,1865117,
江苏,联通,1301696,1315101,1322248,1452638,1460168,,1566518,1665188,1673278,1713518,1755168,1762598,1855068,1865118,
江苏,联通,1301697,1315102,1322249,1452639,1460169,,1566519,1665189,1673279,1713519,1755169,1762599,1855069,1865119,
江苏,联通,1301698,1315103,1322250,1452640,1460170,,1569510,1665190,1673280,1713520,1755170,1762600,1855070,1865120,
江苏,联通,1301699,1315104,1322251,1452641,1460171,,1569511,1665191,1673281,1713521,1755171,1762601,1855071,1865121,
江苏,联通,1302250,1315105,1322252,1452642,1460172,,1569512,1665192,1673282,1713522,1755172,1762602,1855072,1865122,
江苏,联通,1302251,1315106,1322253,1452643,1460173,,1569513,1665193,1673283,1713523,1755173,1762603,1855073,1865123,
江苏,联通,1302252,1315107,1322255,1452644,1460174,,1569514,1665194,1673284,1713524,1755174,1762604,1855074,1865124,
江苏,联通,1302253,1315108,1322256,1452645,1460175,,1569515,1665195,1673285,1713525,1755175,1762605,1855075,1865125,
江苏,联通,1302254,1315109,1322257,1452646,1460176,,1569516,1665196,1673286,1713526,1755176,1762606,1855076,1865126,
江苏,联通,1302255,1315110,1322258,1452647,1460177,,1569517,1665197,1673287,1713527,1755177,1762607,1855077,1865127,
江苏,联通,1302256,1315111,1322259,1452648,1460178,,1569518,1665198,1673288,1713528,1755178,1762608,1855078,1865128,
江苏,联通,1302257,1315112,1322260,1452649,1460179,,1569519,1665199,1673289,1713529,1755179,1762609,1855079,1865129,
江苏,联通,1302258,1315113,1322261,1453540,1460180,,1569520,1665270,1673290,1713620,1755180,1762610,1855080,1865130,
江苏,联通,1302259,1315114,1322262,1453541,1460181,,1569521,1665271,1673291,1713621,1755181,1762611,1855081,1865131,
江苏,联通,1302330,1315115,1322263,1453542,1460182,,1569522,1665272,1673292,1713622,1755182,1762612,1855082,1865132,
江苏,联通,1302331,1315116,1322264,1453543,1460183,,1569523,1665273,1673293,1713623,1755183,1762613,1855083,1865133,
江苏,联通,1302332,1315117,1322265,1453544,1460184,,1569524,1665274,1673294,1713624,1755184,1762614,1855084,1865134,
江苏,联通,1302333,1315118,1322266,1453545,1460185,,1569525,1665275,1673295,1713625,1755185,1762615,1855085,1865135,
江苏,联通,1302335,1315119,1322267,1453600,1460186,,1569526,1665276,1673296,1713626,1755186,1762616,1855086,1865136,
江苏,联通,1302336,1315120,1322268,1453601,1460187,,1569527,1665277,1673297,1713627,1755187,1762617,1855087,1865137,
江苏,联通,1302337,1315121,1322269,1453602,1460188,,1569528,1665278,1673298,1713628,1755188,1762618,1855088,1865138,
江苏,联通,1302338,1315122,1322270,1453603,1460189,,1569529,1665279,1673299,1713629,1755189,1762619,1855089,1865139,
江苏,联通,1302339,1315123,1322271,1453604,1460190,,,1666500,1673300,1713650,1755190,1762620,1855090,1865140,
江苏,联通,1302340,1315124,1322272,1453605,1460191,,,1666501,1673301,1713651,1755191,1762621,1855091,1865141,
江苏,联通,1302341,1315125,1322273,1453606,1460192,,,1666502,1673302,1713652,1755192,1762622,1855092,1865142,
江苏,联通,1302342,1315126,1322274,1453607,1460193,,,1666503,1673303,1713653,1755193,1762623,1855093,1865143,
江苏,联通,1302343,1315127,1322275,1453608,1460194,,,1666504,1673304,1713654,1755194,1762624,1855094,1865144,
江苏,联通,1302344,1315128,1322276,1453609,1460195,,,1666505,1673305,1713655,1755195,1762625,1855095,1865145,
江苏,联通,1302345,1315129,1322277,1453610,1460196,,,1666506,1673306,1713656,1755196,1762626,1855096,1865146,
江苏,联通,1302346,1315130,1322278,1453611,1460197,,,1666507,1673307,1713657,1755197,1762627,1855097,1865147,
江苏,联通,1302347,1315131,1322279,1453612,1460198,,,1666508,1673308,1713658,1755198,1762628,1855098,1865148,
江苏,联通,1302348,1315132,1322280,1453613,1460199,,,1666509,1673309,1713659,1755199,1762629,1855099,1865149,
