省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
新疆,联通,1307039,1315023,1323984,1454554,1556934,1569914,1666963,,1759064,1769055,1859935,1869904,
新疆,联通,1307040,1315024,1323985,1454555,1556935,1569915,1666964,,1759065,1769056,1859936,1869905,
新疆,联通,1307041,1315025,1323986,1454556,1556936,1569916,1666965,,1759066,1769057,1859937,1869906,
新疆,联通,1307042,1315026,1323987,1454557,1556937,1569917,1666966,,1759067,1769058,1859938,1869907,
新疆,联通,1307043,1315027,1323988,1454558,1556938,1569918,1666967,,1759068,1769059,1859939,1869908,
新疆,联通,1307044,1315028,1323989,1454559,1556939,1569919,1666968,,1759069,1769060,1859940,1869909,
新疆,联通,1307045,1315029,1323990,1457050,1556940,1569920,1666969,,1759070,1769061,1859941,1869910,
新疆,联通,1307046,1315030,1323991,1457051,1556941,1569921,1666970,,1759071,1769062,1859942,1869911,
新疆,联通,1307047,1315031,1323992,1457052,1556942,1569922,1666971,,1759072,1769063,1859943,1869912,
新疆,联通,1307048,1315032,1323993,1457053,1556943,1569923,1666972,,1759073,1769064,1859944,1869913,
新疆,联通,1307049,1315033,1323994,1457054,1556944,1569924,1666973,,1759074,1769065,1859945,1869914,
新疆,联通,1307990,1315034,1323995,1457055,1556945,1569925,1666974,,1759075,1769066,1859946,1869915,
新疆,联通,1307991,1315035,1323996,1457056,1556946,1569926,1666975,,1759076,1769067,1859947,1869916,
新疆,联通,1307992,1315036,1323997,1457057,1556947,1569927,1666976,,1759077,1769068,1859948,1869917,
新疆,联通,1307993,1315037,1323998,1457058,1556948,1569928,1666977,,1759078,1769069,1859949,1869918,
新疆,联通,1307994,1315038,1323999,1457059,1556949,1569929,1666978,,1759079,1769070,1859960,1869919,
新疆,联通,1307995,1315039,1327900,1459660,1556950,1569930,1666979,,1759080,1769071,1859961,1869920,
新疆,联通,1307996,1315040,1327901,1459661,1556951,1569931,1666980,,1759081,1769072,1859962,1869921,
新疆,联通,1307997,1315041,1327902,1459662,1556952,1569932,1666981,,1759082,1769073,1859963,1869922,
新疆,联通,1307998,1315042,1327903,1459663,1556953,1569933,1666982,,1759083,1769074,1859964,1869923,
新疆,联通,1307999,1315043,1327904,1459664,1556954,1569934,1666983,,1759084,1769075,1859965,1869924,
新疆,联通,1309000,1315044,1327905,1459665,1556955,1569935,1666984,,1759085,1769076,1859966,1869925,
新疆,联通,1309400,1315045,1327906,1459666,1556956,1569936,1666985,,1759086,1769077,1859967,1869926,
新疆,联通,1309401,1315046,1327907,1459667,1556957,1569937,1666986,,1759087,1769078,1859968,1869927,
新疆,联通,1309402,1315047,1327908,1459668,1556958,1569938,1666987,,1759088,1769079,1859969,1869928,
新疆,联通,1309403,1315048,1327909,1459669,1556959,1569939,1666988,,1759089,1769080,1859970,1869929,
新疆,联通,1309404,1315049,1327970,1459670,1559960,1569940,1666989,,1759090,1769081,1859971,1869930,
新疆,联通,1309405,1317980,1327971,1459671,1559961,1569941,1666990,,1759091,1769082,1859972,1869931,
新疆,联通,1309406,1317981,1327972,1459672,1559962,1569942,1666991,,1759092,1769083,1859973,1869932,
新疆,联通,1309407,1317982,1327973,1459673,1559963,1569943,1666992,,1759093,1769084,1859974,1869933,
新疆,联通,1309408,1317983,1327974,1459674,1559964,1569944,1666993,,1759094,1769085,1859975,1869934,
新疆,联通,1309409,1317984,1327975,1459675,1559965,1569945,1666994,,1759095,1769086,1859976,1869935,
新疆,联通,1309500,1317985,1327976,1459676,1559966,1569946,1666995,,1759096,1769087,1859977,1869936,
新疆,联通,1309501,1317986,1327977,1459677,1559967,1569947,1666996,,1759097,1769088,1859978,1869937,
新疆,联通,1309502,1317987,1327978,1459678,1559968,1569948,1666997,,1759098,1769089,1859979,1869938,
新疆,联通,1309503,1317988,1327979,1459679,1559969,1569949,1666998,,1759099,1769090,1859980,1869939,
新疆,联通,1309504,1317989,1327980,1459680,1559970,,1666999,,1759140,1769091,1859981,1869940,
