省份,运营商,133 号段,153 号段,173 号段,177 号段,180 号段,181 号段,189 号段,190 号段,191 号段,193 号段,199 号段
新疆,电信,1334548,,1739788,1779488,1808398,1812917,1899788,1903988,1919048,1931778,1999028
新疆,电信,1334549,,1739789,1779489,1808399,1812918,1899789,1903989,1919049,1931779,1999029
新疆,电信,1336470,,1739900,1779490,1809480,1812919,1899790,1903990,1919050,1931780,1999030
新疆,电信,1336471,,1739901,1779491,1809481,1812920,1899791,1903991,1919051,1931781,1999031
新疆,电信,1336472,,1739902,1779492,1809482,1812921,1899792,1903992,1919052,1931782,1999032
新疆,电信,1336473,,1739903,1779493,1809483,1812922,1899793,1903993,1919053,1931783,1999033
新疆,电信,1336474,,1739904,1779494,1809484,1812923,1899794,1903994,1919054,1931784,1999034
新疆,电信,1336475,,1739905,1779495,1809485,1812924,1899795,1903995,1919055,1931785,1999035
新疆,电信,1336476,,1739906,1779496,1809486,1812925,1899796,1903996,1919056,1931786,1999036
新疆,电信,1336477,,1739907,1779497,1809487,1812926,1899797,1903997,1919057,1931787,1999037
新疆,电信,1336478,,1739908,1779498,1809488,1812927,1899798,1903998,1919058,1931788,1999038
新疆,电信,1336479,,1739909,1779499,1809489,1812928,1899799,1903999,1919059,1931789,1999039
新疆,电信,1336480,,1739910,1779780,1809490,1812929,1899900,1904900,1919060,1931790,1999040
新疆,电信,1336481,,1739911,1779781,1809491,1812930,1899901,1904901,1919061,1931791,1999041
新疆,电信,1336482,,1739912,1779782,1809492,1812931,1899902,1904902,1919062,1931792,1999042
新疆,电信,1336483,,1739913,1779783,1809493,1812932,1899903,1904903,1919063,1931793,1999043
新疆,电信,1336484,,1739914,1779784,1809494,1812933,1899904,1904904,1919064,1931794,1999044
新疆,电信,1336485,,1739915,1779785,1809495,1812934,1899905,1904905,1919065,1931795,1999045
新疆,电信,1336486,,1739916,1779786,1809496,1812935,1899906,1904906,1919066,1931796,1999046
新疆,电信,1336487,,1739917,1779787,1809497,1812936,1899907,1904907,1919067,1931797,1999047
新疆,电信,1336488,,1739918,1779788,1809498,1812937,1899908,1904908,1919068,1931798,1999048
新疆,电信,1336489,,1739919,1779789,1809499,1812938,1899909,1904909,1919069,1931799,1999049
新疆,电信,1336490,,1739920,1779790,1809580,1812939,1899910,1904990,1919080,1931840,1999060
新疆,电信,1336491,,1739921,1779791,1809581,1812940,1899911,1904991,1919081,1931841,1999061
新疆,电信,1336492,,1739922,1779792,1809582,1812941,1899912,1904992,1919082,1931842,1999062
新疆,电信,1336493,,1739923,1779793,1809583,1812942,1899913,1904993,1919083,1931843,1999063
新疆,电信,1336494,,1739924,1779794,1809584,1812943,1899914,1904994,1919084,1931844,1999064
新疆,电信,1336495,,1739925,1779795,1809585,1812944,1899915,1904995,1919085,1931845,1999065
新疆,电信,1336496,,1739926,1779796,1809586,1812945,1899916,1904996,1919086,1931846,1999066
新疆,电信,1336497,,1739927,1779797,1809587,1812946,1899917,1904997,1919087,1931847,1999067
新疆,电信,1336498,,1739928,1779798,1809588,1812947,1899918,1904998,1919088,1931848,1999068
新疆,电信,1336499,,1739929,1779799,1809589,1812948,1899919,1904999,1919089,1931849,1999069
新疆,电信,1336900,,1739930,1779900,1809590,1812949,1899920,1909010,1919090,1932530,1999080
新疆,电信,1336901,,1739931,1779901,1809591,1813080,1899921,1909011,1919091,1932531,1999081
新疆,电信,1336902,,1739932,1779902,1809592,1813081,1899922,1909012,1919092,1932532,1999082
新疆,电信,1336903,,1739933,1779903,1809593,1813082,1899923,1909013,1919093,1932533,1999083
新疆,电信,1336904,,1739934,1779904,1809594,1813083,1899924,1909014,1919094,1932534,1999084
新疆,电信,1336905,,1739935,1779905,1809595,1813084,1899925,1909015,1919095,1932535,1999085
新疆,电信,1336906,,1739936,1779906,1809596,1813085,1899926,1909016,1919096,1932536,1999086
新疆,电信,1336907,,1739937,1779907,1809597,1813086,1899927,1909017,1919097,1932537,1999087
新疆,电信,1336908,,1739938,1779908,1809598,1813087,1899928,1909018,1919098,1932538,1999088
新疆,电信,1336909,,1739939,1779909,1809599,1813088,1899929,1909019,1919099,1932539,1999089
新疆,电信,1336960,,1739940,1779910,1809680,1813089,1899930,1909910,1919910,1932540,1999090
