省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,150 号段,151 号段,152 号段,157 号段,158 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
甘肃,移动,,,1364931,,1383029,1391919,1471901,1502581,1510181,1521401,1571961,,,1707933,1729975,1783411,1821521,1839311,1841821,1871961,1889321,1952500,1973982,1989067
甘肃,移动,,,1364932,,1383030,1391920,1471902,1502582,1510182,1521402,1571962,,,1707934,1729976,1783412,1821522,1839312,1841822,1871962,1889322,1952732,1973983,1989068
甘肃,移动,,,1364933,,1383031,1391921,1471903,1502583,1510183,1521403,1571963,,,1707935,,1783413,1821523,1839313,1841823,1871963,1889323,1952736,1973984,1989069
甘肃,移动,,,1364934,,1383032,1391922,1471904,1502584,1510184,1521404,1571964,,,1707936,,1783414,1821524,1839314,1841824,1871964,1889324,1952737,1973985,1989070
甘肃,移动,,,1364935,,1383033,1391923,1471905,1502585,1510185,1521405,1571965,,,1707937,,1783415,1821525,1839315,1841825,1871965,1889325,1952931,1973986,1989071
甘肃,移动,,,1364936,,1383034,1391924,1471906,1502586,1510186,1521406,1571966,,,1707938,,1783416,1821526,1839316,1841826,1871966,1889326,1953044,1973987,1989072
甘肃,移动,,,1364937,,1383035,1391925,1471907,1502587,1510187,1521407,1571967,,,1707939,,1783417,1821527,1839317,1841827,1871967,1889327,1953046,1973988,1989073
甘肃,移动,,,1364938,,1383036,1391926,1471908,1502588,1510188,1521408,1571968,,,,,1783418,1821528,1839318,1841828,1871968,1889328,1953058,1973989,1989074
甘肃,移动,,,1364939,,1383037,1391927,1471909,1502589,1510189,1521409,1571969,,,,,1783419,1821529,1839319,1841829,1871969,1889329,1953059,1974890,1989075
甘肃,移动,,,1365930,,1383038,1391928,1471910,1502590,1510190,1521410,1573090,,,,,1783420,1821530,1839320,1841830,1871970,1889330,1953075,1974891,1989076
甘肃,移动,,,1365931,,1383039,1391929,1471911,1502591,1510191,1521411,1573091,,,,,1783421,1821531,1839321,1841831,1871971,1889331,1953081,1974892,1989077
甘肃,移动,,,1365932,,1383040,1391930,1471912,1502592,1510192,1521412,1573092,,,,,1783422,1821532,1839322,1841832,1871972,1889332,1953083,1974893,1989078
甘肃,移动,,,1365933,,1383041,1391931,1471913,1502593,1510193,1521413,1573093,,,,,1783423,1821533,1839323,1841833,1871973,1889333,1953116,1974894,1989079
甘肃,移动,,,1365934,,1383042,1391932,1471914,1502594,1510194,1521414,1573094,,,,,1783424,1821534,1839324,1841834,1871974,1889334,1953117,1974895,1989300
甘肃,移动,,,1365935,,1383043,1391933,1471915,1502595,1510195,1521415,1573095,,,,,1783425,1821535,1839325,1841835,1871975,1889335,1953151,1974896,1989301
甘肃,移动,,,1365936,,1383044,1391934,1471916,1502596,1510196,1521416,1573096,,,,,1783426,1821536,1839326,1841836,1871976,1889336,1953161,1974897,1989302
甘肃,移动,,,1365937,,1383045,1391935,1471917,1502597,1510197,1521417,1573097,,,,,1783427,1821537,1839327,1841837,1871977,1889337,1953271,1974898,1989303
甘肃,移动,,,1365938,,1383046,1391936,1471918,1502598,1510198,1521418,1573098,,,,,1783428,1821538,1839328,1841838,1871978,1889338,1953350,1974899,1989304
甘肃,移动,,,1365939,,1383047,1391937,1471919,1502599,1510199,1521419,1573099,,,,,1783429,1821539,1839329,1841839,1871979,1889339,1953405,1974900,1989305
甘肃,移动,,,1365940,,1383048,1391938,1471920,1509530,1510390,1524930,1575190,,,,,1783430,1821540,1839330,1841840,1871980,1889340,1953495,1974901,1989306
甘肃,移动,,,1365941,,1383049,1391939,1471921,1509531,1510391,1524931,1575191,,,,,1783431,1821541,1839331,1841841,1871981,1889341,1953513,1974902,1989307
甘肃,移动,,,1365942,,1383050,1391940,1471922,1509532,1510392,1524932,1575192,,,,,1783432,1821542,1839332,1841842,1871982,1889342,1953515,1974903,1989308
甘肃,移动,,,1365943,,1383051,1391941,1471923,1509533,1510393,1524933,1575193,,,,,1783433,1821543,1839333,1841843,1871983,1889343,1953516,1974904,1989309
甘肃,移动,,,1365944,,1383052,1391942,1471924,1509534,1510394,1524934,1575194,,,,,1783434,1821544,1839334,1841844,1871984,1889344,1953517,1974905,1989310
甘肃,移动,,,1365945,,1383053,1391943,1471925,1509535,1510395,1524935,1575195,,,,,1783435,1821545,1839335,1841845,1871985,1889345,1953959,1974906,1989311
甘肃,移动,,,1365946,,1383054,1391944,1471926,1509536,1510396,1524936,1575196,,,,,1783436,1821546,1839336,1841846,1871986,1889346,1953981,1974907,1989312
甘肃,移动,,,1365947,,1383055,1391945,1471927,1509537,1510397,1524937,1575197,,,,,1783437,1821547,1839337,1841847,1871987,1889347,1957020,1974908,1989313
甘肃,移动,,,1365948,,1383056,1391946,1471928,1509538,1510398,1524938,1575198,,,,,1783438,1821548,1839338,1841848,1871988,1889348,1957021,1974909,1989314
甘肃,移动,,,1365949,,1383057,1391947,1471929,1509539,1510399,1524939,1575199,,,,,1783439,1821549,1839339,1841849,1871989,1889349,1957022,,1989315
甘肃,移动,,,1366930,,1383058,1391948,1471930,1509540,1510930,1526890,1576930,,,,,1783440,1821960,1839340,1841850,1874090,1889350,1957023,,1989316
甘肃,移动,,,1366931,,1383059,1391949,1471931,1509541,1510931,1526891,1576931,,,,,1783441,1821961,1839341,1841851,1874091,1889351,1957024,,1989317
甘肃,移动,,,1366932,,1383060,1391950,1471932,1509542,1510932,1526892,1576932,,,,,1783442,1821962,1839342,1841852,1874092,1889352,1957025,,1989318
甘肃,移动,,,1366933,,1383061,1391951,1471933,1509543,1510933,1526893,1576933,,,,,1783443,1821963,1839343,1841853,1874093,1889353,1957026,,1989319
甘肃,移动,,,1366934,,1383062,1391952,1471934,1509544,1510934,1526894,1576934,,,,,1783444,1821964,1839344,1841854,1874094,1889354,1957027,,1989320
甘肃,移动,,,1366935,,1383063,1391953,1471935,1509545,1510935,1526895,1576935,,,,,1783445,1821965,1839345,1841855,1874095,1889355,1957028,,1989321
甘肃,移动,,,1366936,,1383064,1391954,1471936,1509546,1510936,1526896,1576936,,,,,1783446,1821966,1839346,1841856,1874096,1889356,1957029,,1989322
甘肃,移动,,,1366937,,1383065,1391955,1471937,1509547,1510937,1526897,1576937,,,,,1783447,1821967,1839347,1841857,1874097,1889357,1957030,,1989323
甘肃,移动,,,1366938,,1383066,1391956,1471938,1509548,1510938,1526898,1576938,,,,,1783448,1821968,1839348,1841858,1874098,1889358,1957031,,1989324
甘肃,移动,,,1366939,,1383067,1391957,1471939,1509549,1510939,1526899,1576939,,,,,1783449,1821969,1839349,1841859,1874099,1889359,1957032,,1989325
甘肃,移动,,,1367930,,1383068,1391958,1471940,1509550,1510940,1529300,1576940,,,,,1784880,1821970,1839350,1841860,1879300,1889360,1957033,,1989326
甘肃,移动,,,1367931,,1383069,1391959,1471941,1509551,1510941,1529301,1576941,,,,,1784881,1821971,1839351,1841861,1879301,1889361,1957034,,1989327
甘肃,移动,,,1367932,,1383070,1391960,1471942,1509552,1510942,1529302,1576942,,,,,1784882,1821972,1839352,1841862,1879302,1889362,1957035,,1989328
甘肃,移动,,,1367933,,1383071,1391961,1471943,1509553,1510943,1529303,1576943,,,,,1784883,1821973,1839353,1841863,1879303,1889363,1957036,,1989329
甘肃,移动,,,1367934,,1383072,1391962,1471944,1509554,1510944,1529304,1576944,,,,,1784884,1821974,1839354,1841864,1879304,1889364,1957037,,1989330
甘肃,移动,,,1367935,,1383073,1391963,1471945,1509555,1510945,1529305,1576945,,,,,1784885,1821975,1839355,1841865,1879305,1889365,1957038,,1989331
甘肃,移动,,,1367936,,1383074,1391964,1471946,1509556,1510946,1529306,1576946,,,,,1784886,1821976,1839356,1841866,1879306,1889366,1957039,,1989332
甘肃,移动,,,1367937,,1383075,1391965,1471947,1509557,1510947,1529307,1576947,,,,,1784887,1821977,1839357,1841867,1879307,1889367,1957050,,1989333
甘肃,移动,,,1367938,,1383076,1391966,1471948,1509558,1510948,1529308,1576948,,,,,1784888,1821978,1839358,1841868,1879308,1889368,1957051,,1989334
甘肃,移动,,,1367939,,1383077,1391967,1471949,1509559,1510949,1529309,1576949,,,,,1784889,1821979,1839359,1841869,1879309,1889369,1957052,,1989335
甘肃,移动,,,1367940,,1383078,1391968,1471950,1509560,1511700,1529310,1579074,,,,,1786610,1821980,1839360,1841900,1879310,1889370,1957053,,1989336
甘肃,移动,,,1367941,,1383079,1391969,1471951,1509561,1511701,1529311,1579078,,,,,1786611,1821981,1839361,1841901,1879311,1889371,1957054,,1989337
甘肃,移动,,,1367942,,1383080,1391970,1471952,1509562,1511702,1529312,1579079,,,,,1786612,1821982,1839362,1841902,1879312,1889372,1957055,,1989338
甘肃,移动,,,1367943,,1383081,1391971,1471953,1509563,1511703,1529313,1579081,,,,,1786613,1821983,1839363,1841903,1879313,1889373,1957056,,1989339
甘肃,移动,,,1367944,,1383082,1391972,1471954,1509564,1511704,1529314,1579082,,,,,1786614,1821984,1839364,1841904,1879314,1889374,1957057,,1989340
甘肃,移动,,,1367945,,1383083,1391973,1471955,1509565,1511705,1529315,1579085,,,,,1786615,1821985,1839365,1841905,1879315,1889375,1957058,,1989341
甘肃,移动,,,1367946,,1383084,1391974,1471956,1509566,1511706,1529316,1579086,,,,,1786616,1821986,1839366,1841906,1879316,1889376,1957059,,1989342
甘肃,移动,,,1367947,,1383085,1391975,1471957,1509567,1511707,1529317,1579087,,,,,1786617,1821987,1839367,1841907,1879317,1889377,1957060,,1989343
甘肃,移动,,,1367948,,1383086,1391976,1471958,1509568,1511708,1529318,1579089,,,,,1786618,1821988,1839368,1841908,1879318,1889378,1957061,,1989344
甘肃,移动,,,1367949,,1383087,1391977,1471959,1509569,1511709,1529319,1579092,,,,,1786619,1821989,1839369,1841909,1879319,1889379,1957062,,1989345
甘肃,移动,,,1368930,,1383088,1391978,1471960,1509570,1511710,1529320,1579095,,,,,1788080,1821990,1839370,1841910,1879320,1889380,1957063,,1989346
甘肃,移动,,,1368931,,1383089,1391979,1471961,1509571,1511711,1529321,1579096,,,,,1788081,1821991,1839371,1841911,1879321,1889381,1957064,,1989347
