省份,运营商,130 号段,131 号段,132 号段,145 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185号段,186 号段,196 号段
重庆,联通,1306232,1316793,1325123,,,1569633,1668113,,,,,1858023,1869683,
重庆,联通,1306233,1316794,1325124,,,1569634,1668114,,,,,1858024,1869684,
重庆,联通,1306234,1316795,1325125,,,1569635,1668115,,,,,1858025,1869685,
重庆,联通,1306235,1316796,1325126,,,1569636,1668116,,,,,1858026,1869686,
重庆,联通,1306236,1316797,1325127,,,1569637,1668117,,,,,1858027,1869687,
重庆,联通,1306237,1316798,1325128,,,1569638,1668118,,,,,1858028,1869688,
重庆,联通,1306238,1316799,1325129,,,1569639,1668119,,,,,1858029,1869689,
重庆,联通,1306239,1319300,1325130,,,1569640,1668120,,,,,1858030,1869690,
重庆,联通,1306830,1319301,1325131,,,1569641,1668121,,,,,1858031,1869691,
重庆,联通,1306831,1319302,1325132,,,1569642,1668122,,,,,1858032,1869692,
重庆,联通,1306832,1319303,1325133,,,1569643,1668123,,,,,1858033,1869693,
重庆,联通,1306833,1319304,1325134,,,1569644,1668124,,,,,1858034,1869694,
重庆,联通,1306834,1319305,1325135,,,1569645,1668125,,,,,1858035,1869695,
重庆,联通,1306835,1319306,1325136,,,1569646,1668126,,,,,1858036,1869696,
重庆,联通,1306836,1319307,1325137,,,1569647,1668127,,,,,1858037,1869697,
重庆,联通,1306837,1319308,1325138,,,1569648,1668128,,,,,1858038,1869698,
重庆,联通,1306838,1319309,1325139,,,1569649,1668129,,,,,1858039,1869699,
重庆,联通,1306839,1319310,1325140,,,1569650,1668230,,,,,1858040,,
重庆,联通,1307230,1319311,1325141,,,1569651,1668231,,,,,1858041,,
重庆,联通,1307231,1319312,1325142,,,1569652,1668232,,,,,1858042,,
重庆,联通,1307232,1319313,1325143,,,1569653,1668233,,,,,1858043,,
重庆,联通,1307233,1319314,1325144,,,1569654,1668234,,,,,1858044,,
重庆,联通,1307234,1319315,1325145,,,1569655,1668235,,,,,1858045,,
重庆,联通,1307235,1319316,1325146,,,1569656,1668236,,,,,1858046,,
重庆,联通,1307236,1319317,1325147,,,1569657,1668237,,,,,1858047,,
重庆,联通,1307237,1319318,1325148,,,1569658,1668238,,,,,1858048,,
重庆,联通,1307238,1319319,1325149,,,1569659,1668239,,,,,1858049,,
重庆,联通,1307239,1319320,1327180,,,1569660,,,,,,1858050,,
重庆,联通,1307540,1319321,1327181,,,1569661,,,,,,1858051,,
重庆,联通,1307541,1319322,1327182,,,1569662,,,,,,1858052,,
重庆,联通,1307542,1319323,1327183,,,1569663,,,,,,1858053,,
重庆,联通,1307543,1319324,1327184,,,1569664,,,,,,1858054,,
重庆,联通,1307544,1319325,1327185,,,1569665,,,,,,1858055,,
重庆,联通,1307545,1319326,1327186,,,1569666,,,,,,1858056,,
重庆,联通,1307546,1319327,1327187,,,1569667,,,,,,1858057,,
重庆,联通,1307547,1319328,1327188,,,1569668,,,,,,1858058,,
重庆,联通,1307548,1319329,1327189,,,1569669,,,,,,1858059,,
重庆,联通,1307549,,1327190,,,1569670,,,,,,1858060,,
重庆,联通,1309860,,1327191,,,1569671,,,,,,1858061,,
重庆,联通,1309861,,1327192,,,1569672,,,,,,1858062,,
重庆,联通,1309862,,1327193,,,1569673,,,,,,1858063,,
重庆,联通,1309863,,1327194,,,1569674,,,,,,1858064,,
重庆,联通,1309864,,1327195,,,1569675,,,,,,1858065,,
重庆,联通,1309865,,1327196,,,1569676,,,,,,1858066,,
重庆,联通,1309866,,1327197,,,1569677,,,,,,1858067,,
重庆,联通,1309867,,1327198,,,1569678,,,,,,1858068,,
重庆,联通,1309868,,1327199,,,1569679,,,,,,1858069,,
重庆,联通,1309869,,1327250,,,1569680,,,,,,1858070,,
重庆,联通,1309870,,1327251,,,1569681,,,,,,1858071,,
重庆,联通,1309871,,1327252,,,1569682,,,,,,1858072,,
重庆,联通,1309872,,1327253,,,1569683,,,,,,1858073,,
重庆,联通,1309873,,1327254,,,1569684,,,,,,1858074,,
重庆,联通,1309874,,1327255,,,1569685,,,,,,1858075,,
重庆,联通,1309875,,1327256,,,1569686,,,,,,1858076,,
重庆,联通,1309876,,1327257,,,1569687,,,,,,1858077,,
重庆,联通,1309877,,1327258,,,1569688,,,,,,1858078,,
重庆,联通,1309878,,1327259,,,1569689,,,,,,1858079,,
重庆,联通,1309879,,1327260,,,1569690,,,,,,1858080,,
重庆,联通,,,1327261,,,1569691,,,,,,1858081,,
重庆,联通,,,1327262,,,1569692,,,,,,1858082,,
重庆,联通,,,1327263,,,1569693,,,,,,1858083,,
重庆,联通,,,1327264,,,1569694,,,,,,1858084,,
重庆,联通,,,1327265,,,1569695,,,,,,1858085,,
重庆,联通,,,1327266,,,1569696,,,,,,1858086,,
重庆,联通,,,1327267,,,1569697,,,,,,1858087,,
重庆,联通,,,1327268,,,1569698,,,,,,1858088,,
