省份,运营商,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
天津,移动,,,,1382151,,,,,,,,,,,1703387,,,,,,,,,,
天津,移动,,,,1382152,,,,,,,,,,,1703388,,,,,,,,,,
天津,移动,,,,1382153,,,,,,,,,,,1703389,,,,,,,,,,
天津,移动,,,,1382154,,,,,,,,,,,1703390,,,,,,,,,,
天津,移动,,,,1382155,,,,,,,,,,,1703391,,,,,,,,,,
天津,移动,,,,1382156,,,,,,,,,,,1703392,,,,,,,,,,
天津,移动,,,,1382157,,,,,,,,,,,1703393,,,,,,,,,,
天津,移动,,,,1382158,,,,,,,,,,,1703394,,,,,,,,,,
天津,移动,,,,1382159,,,,,,,,,,,1703395,,,,,,,,,,
天津,移动,,,,1382160,,,,,,,,,,,1703396,,,,,,,,,,
天津,移动,,,,1382161,,,,,,,,,,,1703397,,,,,,,,,,
天津,移动,,,,1382162,,,,,,,,,,,1703398,,,,,,,,,,
天津,移动,,,,1382163,,,,,,,,,,,1703399,,,,,,,,,,
天津,移动,,,,1382164,,,,,,,,,,,1703400,,,,,,,,,,
天津,移动,,,,1382165,,,,,,,,,,,1703401,,,,,,,,,,
天津,移动,,,,1382166,,,,,,,,,,,1703402,,,,,,,,,,
天津,移动,,,,1382167,,,,,,,,,,,1703403,,,,,,,,,,
天津,移动,,,,1382168,,,,,,,,,,,1703404,,,,,,,,,,
天津,移动,,,,1382169,,,,,,,,,,,1703405,,,,,,,,,,
天津,移动,,,,1382170,,,,,,,,,,,1703406,,,,,,,,,,
天津,移动,,,,1382171,,,,,,,,,,,1703407,,,,,,,,,,
天津,移动,,,,1382172,,,,,,,,,,,1703408,,,,,,,,,,
天津,移动,,,,1382173,,,,,,,,,,,1703409,,,,,,,,,,
天津,移动,,,,1382174,,,,,,,,,,,1703959,,,,,,,,,,
天津,移动,,,,1382175,,,,,,,,,,,1703960,,,,,,,,,,
天津,移动,,,,1382176,,,,,,,,,,,1703961,,,,,,,,,,
天津,移动,,,,1382177,,,,,,,,,,,1703962,,,,,,,,,,
天津,移动,,,,1382178,,,,,,,,,,,1703963,,,,,,,,,,
天津,移动,,,,1382179,,,,,,,,,,,1703964,,,,,,,,,,
天津,移动,,,,1382180,,,,,,,,,,,1703965,,,,,,,,,,
天津,移动,,,,1382181,,,,,,,,,,,1703966,,,,,,,,,,
天津,移动,,,,1382182,,,,,,,,,,,1703967,,,,,,,,,,
天津,移动,,,,1382183,,,,,,,,,,,1703968,,,,,,,,,,
天津,移动,,,,1382184,,,,,,,,,,,1703969,,,,,,,,,,
天津,移动,,,,1382185,,,,,,,,,,,1703970,,,,,,,,,,
天津,移动,,,,1382186,,,,,,,,,,,1703971,,,,,,,,,,
天津,移动,,,,1382187,,,,,,,,,,,1703972,,,,,,,,,,
天津,移动,,,,1382188,,,,,,,,,,,1703973,,,,,,,,,,
天津,移动,,,,1382189,,,,,,,,,,,1703974,,,,,,,,,,
天津,移动,,,,1382190,,,,,,,,,,,1703975,,,,,,,,,,
天津,移动,,,,1382191,,,,,,,,,,,1703976,,,,,,,,,,
天津,移动,,,,1382192,,,,,,,,,,,1703977,,,,,,,,,,
天津,移动,,,,1382193,,,,,,,,,,,1703978,,,,,,,,,,
天津,移动,,,,1382194,,,,,,,,,,,1703979,,,,,,,,,,
天津,移动,,,,1382195,,,,,,,,,,,1703980,,,,,,,,,,
天津,移动,,,,1382196,,,,,,,,,,,1703981,,,,,,,,,,
天津,移动,,,,1382197,,,,,,,,,,,1704980,,,,,,,,,,
天津,移动,,,,1382198,,,,,,,,,,,1704981,,,,,,,,,,
天津,移动,,,,1382199,,,,,,,,,,,1704982,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704983,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704984,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704985,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704986,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704987,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704988,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704989,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704990,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704991,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704992,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704993,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704994,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704995,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704996,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704997,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704998,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1704999,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705002,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705012,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705039,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705058,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705122,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705172,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705223,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705235,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705252,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705355,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705522,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705562,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705599,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705608,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705667,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705685,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705716,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705746,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705780,,,,,,,,,,
天津,移动,,,,,,,,,,,,,,,1705796,,,,,,,,,,
