省份,运营商,130 号段,131 号段,132 号段,145 号段,146 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
四川,联通,1308826,1319864,,,,1558393,,,,,,,1858413,,
四川,联通,1308827,1319865,,,,1558394,,,,,,,1858414,,
四川,联通,1308828,1319866,,,,1558395,,,,,,,1858415,,
四川,联通,1308829,1319867,,,,1558396,,,,,,,1858416,,
四川,联通,1308830,1319868,,,,1558397,,,,,,,1858417,,
四川,联通,1308831,1319869,,,,1558398,,,,,,,1858418,,
四川,联通,1308832,1319870,,,,1558399,,,,,,,1858419,,
四川,联通,1308833,1319871,,,,,,,,,,,1858420,,
四川,联通,1308834,1319872,,,,,,,,,,,1858421,,
四川,联通,1308835,1319873,,,,,,,,,,,1858422,,
四川,联通,1308836,1319874,,,,,,,,,,,1858423,,
四川,联通,1308837,1319875,,,,,,,,,,,1858424,,
四川,联通,1308838,1319876,,,,,,,,,,,1858425,,
四川,联通,1308839,1319877,,,,,,,,,,,1858426,,
四川,联通,1309002,1319878,,,,,,,,,,,1858427,,
四川,联通,1309280,1319879,,,,,,,,,,,1858428,,
四川,联通,1309281,1319880,,,,,,,,,,,1858429,,
四川,联通,1309282,1319881,,,,,,,,,,,1858480,,
四川,联通,1309283,1319882,,,,,,,,,,,1858481,,
四川,联通,1309284,1319883,,,,,,,,,,,1858482,,
四川,联通,1309285,1319884,,,,,,,,,,,1858483,,
四川,联通,1309286,1319885,,,,,,,,,,,1858484,,
四川,联通,1309287,1319886,,,,,,,,,,,1858485,,
四川,联通,1309288,1319887,,,,,,,,,,,1858486,,
四川,联通,1309289,1319888,,,,,,,,,,,1858487,,
四川,联通,1309440,1319889,,,,,,,,,,,1858488,,
四川,联通,1309441,,,,,,,,,,,,1858489,,
四川,联通,1309442,,,,,,,,,,,,1858490,,
四川,联通,1309443,,,,,,,,,,,,1858491,,
四川,联通,1309444,,,,,,,,,,,,1858492,,
四川,联通,1309445,,,,,,,,,,,,1858493,,
四川,联通,1309446,,,,,,,,,,,,1858494,,
四川,联通,1309447,,,,,,,,,,,,1858495,,
四川,联通,1309448,,,,,,,,,,,,1858496,,
四川,联通,1309449,,,,,,,,,,,,1858497,,
四川,联通,1309450,,,,,,,,,,,,1858498,,
四川,联通,1309451,,,,,,,,,,,,1858499,,
四川,联通,1309452,,,,,,,,,,,,1859990,,
四川,联通,1309453,,,,,,,,,,,,1859991,,
四川,联通,1309454,,,,,,,,,,,,1859992,,
四川,联通,1309455,,,,,,,,,,,,1859993,,
四川,联通,1309456,,,,,,,,,,,,1859994,,
四川,联通,1309457,,,,,,,,,,,,1859995,,
四川,联通,1309458,,,,,,,,,,,,1859996,,
四川,联通,1309459,,,,,,,,,,,,1859997,,
四川,联通,1309600,,,,,,,,,,,,1859998,,
四川,联通,1309601,,,,,,,,,,,,1859999,,
四川,联通,1309602,,,,,,,,,,,,,,
四川,联通,1309603,,,,,,,,,,,,,,
四川,联通,1309604,,,,,,,,,,,,,,
四川,联通,1309605,,,,,,,,,,,,,,
四川,联通,1309606,,,,,,,,,,,,,,
四川,联通,1309607,,,,,,,,,,,,,,
四川,联通,1309608,,,,,,,,,,,,,,
