省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
四川,移动,1340848,1354008,1362818,1373088,1388044,1398038,1470608,1508228,1518118,1522828,1570828,1582828,1592828,1651816,1703209,1721436,1782838,1820818,1832828,1842838,1871618,1880848,1951188,1972342,1982717
四川,移动,1340849,1354009,1362819,1373089,1388045,1398039,1470609,1508229,1518119,1522829,1570829,1582829,1592829,1651817,1703210,1721437,1782839,1820819,1832829,1842839,1871619,1880849,1951189,1972343,1982718
四川,移动,1340850,1354010,1362900,1373490,1388046,1398040,1470800,1508230,1518120,1522830,1570830,1582830,1592830,1651825,1703211,1721438,1782840,1820820,1832830,1842840,1872800,1882800,1952208,1972344,1982719
四川,移动,1340851,1354011,1362901,1373491,1388047,1398041,1470801,1508231,1518121,1522831,1570831,1582831,1592831,1651826,1703212,1721439,1782841,1820821,1832831,1842842,1872801,1882801,1952209,1972345,1982720
四川,移动,1340852,1354012,1362902,1373492,1388048,1398042,1470802,1508232,1518122,1522832,1570832,1582832,1592832,1651830,1703213,1721440,1782842,1820822,1832832,1842849,1872802,1882802,1952210,1972346,1982721
四川,移动,1340853,1354013,1362903,1373493,1388049,1398043,1470803,1508233,1518123,1522833,1570833,1582833,1592833,1651831,1703214,1721441,1782843,1820823,1832833,1842850,1872803,1882803,1952211,1972812,1982722
四川,移动,1340854,1354014,1362904,1373494,1388050,1398044,1470804,1508234,1518124,1522834,1570834,1582834,1592834,1651832,1703215,1721442,1782844,1820824,1832834,1842871,1872804,1882804,1952212,1972813,1982723
四川,移动,1340855,1354015,1362905,1373495,1388051,1398045,1470805,1508235,1518125,1522835,1570835,1582835,1592835,1651833,1703216,1721443,1782845,1820825,1832835,1842882,1872805,1882805,1952213,1972816,1982724
四川,移动,1340856,1354016,1362906,1373496,1388052,1398046,1470806,1508236,1518126,1522836,1570836,1582836,1592836,1651834,1703217,1721444,1782846,1820826,1832836,1842888,1872806,1882806,1952214,1972817,1982725
四川,移动,1340857,1354017,1362907,1373497,1388053,1398047,1470807,1508237,1518127,1522837,1570837,1582837,1592837,1651835,1703218,1721445,1782847,1820827,1832837,1842890,1872807,1882807,1952215,1972818,1982726
四川,移动,1340858,1354018,1362908,1373498,1388054,1398048,1470808,1508238,1518128,1522838,1570838,1582838,1592838,1651836,1703219,1721446,1782848,1820828,1832838,1842891,1872808,1882808,1952216,1972825,1982727
