省份,运营商,134 号段,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,159 号段,165 号段,170 号段,172 号段,178 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
上海,移动,1344278,1356436,1364186,1376445,1381745,1391740,1478289,1481741,1502146,,,1574087,1582176,1592176,,1703949,1723536,1789406,,1846663,,1881806,1954296,,
上海,移动,1344279,1356437,1364187,1376446,1381746,1391741,1478290,1481742,1502147,,,1574088,1582177,1592177,,1703950,1723537,1789407,,1846664,,1881807,1954297,,
上海,移动,1344280,1356438,1364188,1376447,1381747,1391742,1478291,1481743,1502148,,,1574089,1582178,1592178,,1703951,1723538,1789408,,1846665,,1881808,1954298,,
上海,移动,1344281,1356439,1364189,1376448,1381748,1391743,1478292,1481744,1502149,,,1574090,1582179,1592179,,1703952,1723539,1789409,,1846666,,1881809,1954299,,
上海,移动,1344282,1356440,1364190,1376449,1381749,1391744,1478293,1481745,1502150,,,1574091,1582180,1592180,,1703953,1723540,1789410,,1846667,,1881810,1956930,,
上海,移动,1344285,1356441,1364191,1376450,1381750,1391745,1478294,1481746,1502151,,,1574092,1582181,1592181,,1705007,1723541,1789411,,1846668,,1881811,1956931,,
上海,移动,1344286,1356442,1364192,1376451,1381751,1391746,1478295,1481747,1502152,,,1574093,1582182,1592182,,1705008,1723542,1789412,,1846669,,1881812,1956932,,
上海,移动,1344288,1356443,1364193,1376452,1381752,1391747,1478296,1481748,1502153,,,1574094,1582183,1592183,,1705037,1723543,1789413,,1846670,,1881813,1956933,,
上海,移动,1344289,1356444,1364194,1376453,1381753,1391748,1478297,1481749,1502154,,,1574095,1582184,1592184,,1705038,1723544,1789414,,1846671,,1881814,1956934,,
上海,移动,1344291,1356445,1364195,1376454,1381754,1391749,1478298,1481798,1502155,,,1574096,1582185,1592185,,1705046,1723545,1789415,,1846672,,1881815,1956935,,
上海,移动,1344292,1356446,1364196,1376455,1381755,1391750,1478299,1481990,1502156,,,1574097,1582186,1592186,,1705047,1723546,1789416,,1846673,,1881816,1956936,,
上海,移动,1344293,1356447,1364197,1376456,1381756,1391751,,1482200,1502157,,,1574098,1582187,1592187,,1705066,1723547,1789417,,1846674,,1881817,1956937,,
上海,移动,1344294,1356448,1364198,1376457,1381757,1391752,,1482201,1502158,,,1574099,1582188,1592188,,1705067,1723548,1789418,,1846675,,1881818,1956938,,
上海,移动,1344295,1356449,1364199,1376458,1381758,1391753,,1482202,1502159,,,1574100,1582189,1592189,,1705097,1723549,1789419,,1846676,,1881819,1956939,,
上海,移动,1344296,1356450,1365160,1376459,1381759,1391754,,1482203,1502160,,,1574101,1582190,1592190,,1705102,1723550,1789420,,1846677,,1881820,1956950,,
上海,移动,1344297,1356451,1365161,1376460,1381760,1391755,,1482204,1502161,,,1574102,1582191,1592191,,1705103,1723551,1789421,,1846678,,1881821,1956951,,
上海,移动,1344298,1356452,1365162,1376461,1381761,1391756,,1482205,1502162,,,1574103,1582192,1592192,,1705121,1723552,1789422,,1846679,,1881822,1956952,,
上海,移动,1344301,1356453,1365163,1376462,1381762,1391757,,1482206,1502163,,,1574104,1582193,1592193,,1705150,1723553,1789423,,1846680,,1881823,1956953,,
上海,移动,1344302,1356454,1365164,1376463,1381763,1391758,,1482207,1502164,,,1574105,1582194,1592194,,1705182,1723554,1789424,,1846681,,1881824,1956954,,
上海,移动,1344303,1356455,1365165,1376464,1381764,1391759,,1482208,1502165,,,1574106,1582195,1592195,,1705186,1723555,1789425,,1846682,,1881825,1956955,,
上海,移动,1344305,1356456,1365166,1376465,1381765,1391760,,1482209,1502166,,,1574107,1582196,1592196,,1705196,1723556,1789426,,1846683,,1881826,1956956,,
上海,移动,1344306,1356457,1365167,1376466,1381766,1391761,,1482210,1502167,,,1574108,1582197,1592197,,1705210,1723557,1789427,,1846684,,1881827,1956957,,
上海,移动,1344307,1356458,1365168,1376467,1381767,1391762,,1482211,1502168,,,1574109,1582198,1592198,,1705239,1723558,1789428,,1846685,,1881828,1956958,,
上海,移动,1344308,1356459,1365169,1376468,1381768,1391763,,1482212,1502169,,,1574110,1582199,1592199,,1705268,1723559,1789429,,1846686,,1881829,1956959,,
上海,移动,1344309,1356460,1365170,1376469,1381769,1391764,,1482213,1502170,,,1574111,,,,1705275,1723560,1789430,,1846687,,1882100,1956960,,
上海,移动,1344310,1356461,1365171,1376470,1381770,1391765,,1482214,1502171,,,1574112,,,,1705278,1723561,1789431,,1846688,,1882101,1956961,,
上海,移动,1344311,1356462,1365172,1376471,1381771,1391766,,1482215,1502172,,,1574113,,,,1705290,1723562,1789432,,1846689,,1882102,1956962,,
上海,移动,1344312,1356463,1365173,1376472,1381772,1391767,,1482216,1502173,,,1574114,,,,1705291,1723563,1789433,,1846690,,1882103,1956963,,
上海,移动,1344313,1356464,1365174,1376473,1381773,1391768,,1482217,1502174,,,1574115,,,,1705292,1723564,1789434,,1846691,,1882104,1956964,,
上海,移动,1344314,1356465,1365175,1376474,1381774,1391769,,1482218,1502175,,,1574116,,,,1705293,1723565,1789435,,1846692,,1882105,1956965,,
上海,移动,1344315,1356466,1365176,1376475,1381775,1391770,,1482219,1502176,,,1574117,,,,1705302,1723566,1789436,,1846693,,1882106,1956966,,
