省份,运营商,130 号段,131 号段,132 号段,145 号段,146 号段,155 号段,156 号段,166 号段,167 号段,171 号段,175 号段,176 号段,185 号段,186 号段,196 号段
上海,联通,1305243,1316221,1326225,1453171,,,,1662881,,1719156,1752131,,,1864431,
上海,联通,1305244,1316222,1326226,1453172,,,,1662882,,1719157,1752132,,,1864432,
上海,联通,1305245,1316223,1326227,1453173,,,,1662883,,1719158,1752133,,,1864433,
上海,联通,1305246,1316224,1326228,1453174,,,,1662884,,1719159,1752134,,,1864434,
上海,联通,1305247,1316225,1326229,1453175,,,,1662885,,1719160,1752135,,,1864435,
上海,联通,1305248,1316226,1326250,1453176,,,,1662886,,1719161,1752136,,,1864436,
上海,联通,1305249,1316227,1326251,1453177,,,,1662887,,1719162,1752137,,,1864437,
上海,联通,1305250,1316228,1326252,1453178,,,,1662888,,1719163,1752138,,,1864438,
上海,联通,1305251,1316229,1326253,1453179,,,,1662889,,1719164,1752139,,,1864439,
上海,联通,1305252,1316230,1326254,1453180,,,,1662890,,1719165,1752140,,,1864440,
上海,联通,1305253,1316231,1326255,1453181,,,,1662891,,1719166,1752141,,,1864441,
上海,联通,1305254,1316232,1326256,1453182,,,,1662892,,1719167,1752142,,,1864442,
上海,联通,1305255,1316233,1326257,1453183,,,,1662893,,1719168,1752143,,,1864443,
上海,联通,1305256,1316234,1326258,1453184,,,,1662894,,1719169,1752144,,,1864444,
上海,联通,1305257,1316235,1326259,1453185,,,,1662895,,1719170,1752145,,,1864445,
上海,联通,1305258,1316236,1326260,1453186,,,,1662896,,1719171,1752146,,,1864446,
上海,联通,1305259,1316237,1326261,1453187,,,,1662897,,1719172,1752147,,,1864447,
上海,联通,1306160,1316238,1326262,1453188,,,,1662898,,1719173,1752148,,,1864448,
上海,联通,1306161,1316239,1326263,1453189,,,,1662899,,1719174,1752149,,,1864449,
上海,联通,1306162,1316240,1326264,1453250,,,,1662940,,1719175,1752150,,,1864450,
上海,联通,1306163,1316241,1326265,1453251,,,,1662941,,1719176,1752151,,,1864451,
上海,联通,1306164,1316242,1326266,1453252,,,,1662942,,1719177,1752152,,,1864452,
上海,联通,1306165,1316243,1326267,1453253,,,,1662943,,1719178,1752153,,,1864453,
上海,联通,1306166,1316244,1326268,1453254,,,,1662944,,1719179,1752154,,,1864454,
上海,联通,1306167,1316245,1326269,1453255,,,,1662945,,1719210,1752155,,,1864455,
上海,联通,1306168,1316246,1326270,1453256,,,,1662946,,1719211,1752156,,,1864456,
上海,联通,1306169,1316247,1326271,1453257,,,,1662947,,1719212,1752157,,,1864457,
上海,联通,1306170,1316248,1326272,1453258,,,,1662948,,1719213,1752158,,,1864458,
上海,联通,1306171,1316249,1326273,1453259,,,,1662949,,1719214,1752159,,,1864459,
