省份,运营商,135 号段,136 号段,137 号段,138 号段,139 号段,147 号段,148 号段,150 号段,151 号段,152 号段,157 号段,158 号段,165 号段,170 号段,172 号段,178 号段,182 号段,183 号段,184 号段,187 号段,188 号段,195 号段,197 号段,198 号段
海南,移动,,1369896,,1387665,1397664,,,,,,1579097,,,,,,1828976,1838996,1848906,1878986,1888926,,,
海南,移动,,1369897,,1387666,1397665,,,,,,1579688,,,,,,1828977,1838997,1848907,1878987,1888927,,,
海南,移动,,1369898,,1387667,1397666,,,,,,1579890,,,,,,1828978,1838998,1848908,1878988,1888928,,,
海南,移动,,1369899,,1387668,1397667,,,,,,1579891,,,,,,1828979,1838999,1848909,1878989,1888929,,,
海南,移动,,,,1387669,1397668,,,,,,1579892,,,,,,1828980,,1848970,1878990,1888930,,,
海南,移动,,,,1387670,1397669,,,,,,1579893,,,,,,1828981,,1848971,1878991,1888931,,,
海南,移动,,,,1387671,1397670,,,,,,1579894,,,,,,1828982,,1848972,1878992,1888932,,,
海南,移动,,,,1387672,1397671,,,,,,1579895,,,,,,1828983,,1848973,1878993,1888933,,,
海南,移动,,,,1387673,1397672,,,,,,1579896,,,,,,1828984,,1848974,1878994,1888934,,,
海南,移动,,,,1387674,1397673,,,,,,1579897,,,,,,1828985,,1848975,1878995,1888935,,,
海南,移动,,,,1387675,1397674,,,,,,1579898,,,,,,1828986,,1848976,1878996,1888936,,,
海南,移动,,,,1387676,1397675,,,,,,1579899,,,,,,1828987,,1848977,1878997,1888937,,,
海南,移动,,,,1387677,1397676,,,,,,1579900,,,,,,1828988,,1848978,1878998,1888938,,,
海南,移动,,,,1387678,1397677,,,,,,1579901,,,,,,1828989,,1848979,1878999,1888939,,,
海南,移动,,,,1387679,1397678,,,,,,1579902,,,,,,1828990,,1848980,,1888940,,,
海南,移动,,,,1387680,1397679,,,,,,1579903,,,,,,1828991,,1848981,,1888941,,,
海南,移动,,,,1387681,1397680,,,,,,1579904,,,,,,1828992,,1848982,,1888942,,,
海南,移动,,,,1387682,1397681,,,,,,1579905,,,,,,1828993,,1848983,,1888943,,,
海南,移动,,,,1387683,1397682,,,,,,1579906,,,,,,1828994,,1848984,,1888944,,,
海南,移动,,,,1387684,1397683,,,,,,1579907,,,,,,1828995,,1848985,,1888945,,,
海南,移动,,,,1387685,1397684,,,,,,1579908,,,,,,1828996,,1848986,,1888946,,,
海南,移动,,,,1387686,1397685,,,,,,1579909,,,,,,1828997,,1848987,,1888947,,,
海南,移动,,,,1387687,1397686,,,,,,,,,,,,1828998,,1848988,,1888948,,,
海南,移动,,,,1387688,1397687,,,,,,,,,,,,1828999,,1848989,,1888949,,,
海南,移动,,,,1387689,1397688,,,,,,,,,,,,,,1848990,,1888950,,,
海南,移动,,,,1387690,1397689,,,,,,,,,,,,,,1848991,,1888951,,,
海南,移动,,,,1387691,1397690,,,,,,,,,,,,,,1848992,,1888952,,,
海南,移动,,,,1387692,1397691,,,,,,,,,,,,,,1848993,,1888953,,,
海南,移动,,,,1387693,1397692,,,,,,,,,,,,,,1848994,,1888954,,,
海南,移动,,,,1387694,1397693,,,,,,,,,,,,,,1848995,,1888955,,,
海南,移动,,,,1387695,1397694,,,,,,,,,,,,,,1848996,,1888956,,,
海南,移动,,,,1387696,1397695,,,,,,,,,,,,,,1848997,,1888957,,,
海南,移动,,,,1387697,1397696,,,,,,,,,,,,,,1848998,,1888958,,,
海南,移动,,,,1387698,1397697,,,,,,,,,,,,,,1848999,,1888959,,,
海南,移动,,,,1387699,1397698,,,,,,,,,,,,,,1849790,,1888960,,,
海南,移动,,,,,1397699,,,,,,,,,,,,,,1849791,,1888961,,,
海南,移动,,,,,,,,,,,,,,,,,,,1849792,,1888962,,,
海南,移动,,,,,,,,,,,,,,,,,,,1849793,,1888963,,,
海南,移动,,,,,,,,,,,,,,,,,,,1849794,,1888964,,,
海南,移动,,,,,,,,,,,,,,,,,,,1849795,,1888965,,,
海南,移动,,,,,,,,,,,,,,,,,,,1849796,,1888966,,,
海南,移动,,,,,,,,,,,,,,,,,,,1849797,,1888967,,,
海南,移动,,,,,,,,,,,,,,,,,,,1849798,,1888968,,,
海南,移动,,,,,,,,,,,,,,,,,,,1849799,,1888969,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888970,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888971,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888972,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888973,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888974,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888975,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888976,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888977,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888978,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888979,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888980,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888981,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888982,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888983,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888984,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888985,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888986,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888987,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888988,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888989,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888990,,,
海南,移动,,,,,,,,,,,,,,,,,,,,,1888991,,,
